epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7029.52,1.3895,0.81892,0.96148,0.71053,0.43069,0.48004,0.26979,1.3209,0.73092,0.93721,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7248.76,1.38966,0.81819,0.96057,0.71166,0.43032,0.48022,0.26993,1.32028,0.7304,0.93691,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7468.19,1.38785,0.81778,0.96059,0.71016,0.43209,0.48104,0.27024,1.31972,0.72975,0.93664,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7687.54,1.38615,0.81513,0.96022,0.70853,0.43281,0.48107,0.27059,1.31922,0.72912,0.93647,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7906.69,1.38556,0.81479,0.95993,0.71028,0.43306,0.48146,0.27092,1.31867,0.72857,0.93613,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8125.69,1.38414,0.81259,0.95921,0.7128,0.43228,0.48218,0.27122,1.3179,0.72798,0.93581,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8344.35,1.38364,0.81291,0.95892,0.71043,0.43384,0.48208,0.27165,1.31746,0.72758,0.93553,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8563.49,1.38311,0.81145,0.95931,0.71215,0.43484,0.48282,0.27194,1.31689,0.72709,0.9353,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8782.47,1.38192,0.81119,0.95917,0.71048,0.4358,0.48309,0.27227,1.31654,0.72664,0.93502,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9001.14,1.38054,0.80989,0.95776,0.71336,0.43463,0.48411,0.27298,1.31594,0.72608,0.93467,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9220.27,1.3814,0.8107,0.95851,0.71442,0.43543,0.48466,0.27325,1.31548,0.72542,0.93451,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9438.94,1.37958,0.80797,0.95692,0.71237,0.4364,0.48539,0.27346,1.31488,0.72477,0.93419,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9657.96,1.37921,0.80742,0.95702,0.71323,0.43628,0.4859,0.27405,1.31441,0.72415,0.93391,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9877.23,1.37772,0.8064,0.95699,0.71191,0.43704,0.48611,0.27421,1.31393,0.72371,0.93363,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10096.7,1.37701,0.80604,0.95608,0.71191,0.43764,0.48675,0.27471,1.31334,0.72311,0.93329,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10315.9,1.3764,0.80277,0.95567,0.71144,0.43791,0.48713,0.27491,1.31284,0.72259,0.93301,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10535.3,1.37602,0.80361,0.95561,0.71258,0.43807,0.48785,0.27537,1.31243,0.72211,0.93267,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10754.8,1.37369,0.80242,0.95551,0.71076,0.43855,0.48796,0.27559,1.31203,0.72156,0.93238,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10973.6,1.37287,0.80105,0.95454,0.71434,0.43812,0.48876,0.27603,1.31169,0.72117,0.93214,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11192.4,1.36971,0.79875,0.9538,0.71384,0.43869,0.48908,0.27618,1.31117,0.72061,0.93188,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11410.8,1.37082,0.79934,0.95412,0.71927,0.437,0.48955,0.27652,1.31062,0.72002,0.9317,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11629.2,1.37003,0.79783,0.95322,0.71835,0.43781,0.4895,0.27664,1.31022,0.71958,0.93145,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11846.9,1.36883,0.79692,0.9532,0.7152,0.43996,0.49016,0.27703,1.30977,0.71925,0.93121,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,12065.1,1.36924,0.79634,0.95313,0.71639,0.43977,0.4905,0.27746,1.30932,0.71887,0.93097,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,12282.8,1.36684,0.79338,0.95209,0.71984,0.43886,0.49101,0.27763,1.30881,0.71834,0.93074,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,12501.3,1.36628,0.7928,0.95243,0.71941,0.43871,0.49127,0.27786,1.30836,0.71784,0.93054,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,12719.4,1.36438,0.79242,0.95137,0.72022,0.43898,0.49153,0.27827,1.3078,0.71736,0.93025,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12938.1,1.36296,0.79092,0.95116,0.7225,0.43955,0.49216,0.27857,1.30734,0.717,0.92994,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,13156.7,1.36316,0.79112,0.95089,0.72323,0.43949,0.49221,0.27887,1.30677,0.71671,0.92961,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,13375.2,1.36127,0.78829,0.9508,0.72461,0.4386,0.49274,0.27917,1.30637,0.71623,0.92935,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,13594.5,1.36152,0.7893,0.95058,0.72389,0.43868,0.49311,0.27934,1.30587,0.71593,0.92913,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,13813.6,1.36169,0.78829,0.95057,0.72347,0.4377,0.49328,0.27946,1.30571,0.71552,0.92893,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,14032.6,1.36054,0.78712,0.94943,0.72419,0.43868,0.49355,0.2797,1.30542,0.71533,0.92873,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14251.5,1.35733,0.78441,0.94897,0.72423,0.4383,0.49379,0.27986,1.30509,0.71517,0.92864,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
